date,open,high,low,close,volume
2017-02-07,111.21,111.82,109.35,109.94,456084
2017-02-08,109.9,110.38,108.42,108.73,271353
2017-02-09,109.0,109.44,107.33,108.45,372849
2017-02-10,108.36,109.0,107.65,108.64,576590
2017-02-13,108.04,108.83,107.33,107.38,233693
2017-02-14,107.6,109.48,107.6,108.96,362340
2017-02-15,108.7,110.7,108.22,110.62,453680
2017-02-16,110.98,114.4,110.61,114.25,725334
2017-02-17,114.01,116.92,112.2,116.57,548470
2017-02-21,117.15,118.16,116.29,117.81,430370
2017-02-22,117.98,118.15,116.92,117.0,167751
2017-02-23,117.03,117.22,114.36,116.89,289271
2017-02-24,116.0,117.5,114.28,117.14,207216
2017-02-27,117.36,118.84,116.55,117.94,716894
2017-02-28,117.92,118.71,116.83,117.97,319617
2017-03-01,119.16,121.83,118.02,121.29,417015
2017-03-02,121.75,122.18,119.8,120.05,319503
2017-03-03,119.93,121.72,119.41,120.73,191501
2017-03-06,119.28,120.29,118.05,119.79,258573
2017-03-07,119.08,120.75,118.66,120.03,315651
2017-03-08,120.28,121.06,119.55,120.13,207563
2017-03-09,120.23,120.83,119.8,120.17,177796
2017-03-10,120.51,121.34,119.77,121.21,222663
2017-03-13,120.95,121.86,120.39,121.69,250883
2017-03-14,122.22,122.22,120.25,120.53,164237
2017-03-15,120.77,123.39,120.43,122.97,234999
2017-03-16,123.0,123.2,121.84,122.91,138641
2017-03-17,123.17,124.68,122.76,123.97,412350
2017-03-20,123.97,124.41,122.52,123.59,172062
2017-03-21,124.18,124.83,122.21,122.27,249388
2017-03-22,122.36,123.66,121.86,123.47,232773
2017-03-23,123.11,125.49,122.13,123.75,331623
2017-03-24,124.17,126.0,124.17,124.89,180464
2017-03-27,123.7,125.67,122.93,125.26,245891
2017-03-28,124.82,125.55,124.07,125.05,345099
2017-03-29,124.79,125.85,124.21,124.88,278875
2017-03-30,125.0,126.04,124.57,125.0,267802
2017-03-31,124.75,125.92,124.45,125.2,435487
2017-04-03,125.23,125.58,123.71,125.05,320809
2017-04-04,125.15,126.26,123.6,124.08,315229
2017-04-05,124.75,125.31,123.28,123.4,295192
2017-04-06,125.5,125.9,124.1,125.54,278644
2017-04-07,124.97,126.06,124.69,125.49,156290
2017-04-10,125.4,126.39,124.76,125.16,172127
2017-04-11,124.89,125.99,124.3,125.87,167840
2017-04-12,125.87,126.17,125.27,125.48,150936
2017-04-13,125.16,125.81,124.27,124.61,144238
2017-04-17,122.0,122.0,119.13,120.73,592725
2017-04-18,120.44,121.44,117.37,121.17,232908
2017-04-19,121.26,123.67,121.26,123.12,273714
2017-04-20,123.43,125.9,122.6,125.21,234591
2017-04-21,125.07,125.17,124.05,125.03,177820
2017-04-24,126.19,130.43,126.19,129.25,384484
2017-04-25,129.66,130.26,128.51,129.16,246519
2017-04-26,130.04,130.79,129.4,130.08,177989
2017-04-27,130.47,131.68,128.23,130.92,231925
2017-04-28,131.26,131.68,129.8,130.32,221717
2017-05-01,130.5,133.7,130.09,133.57,330386
2017-05-02,134.3,134.82,133.7,134.28,280309
2017-05-03,134.15,134.15,129.68,129.89,552012
2017-05-04,127.71,130.89,123.6,130.81,846979
2017-05-05,132.13,134.81,131.63,133.03,329944
2017-05-08,132.3,133.97,130.02,130.78,350418
2017-05-09,130.65,132.04,129.81,130.88,246945
2017-05-10,130.63,131.82,129.83,131.8,166914
2017-05-11,131.33,131.59,129.55,130.85,181572
2017-05-12,130.28,131.97,130.28,131.42,181400
2017-05-15,131.5,134.71,131.06,134.51,346432
2017-05-16,133.64,133.99,132.03,133.84,337044
2017-05-17,132.29,132.84,130.47,130.54,316260
2017-05-18,129.96,133.88,129.8,133.24,508081
2017-05-19,134.0,134.91,132.63,134.43,236498
2017-05-22,134.5,137.0,134.5,135.8,385183
2017-05-23,136.62,136.63,134.55,134.74,224818
2017-05-24,135.0,135.44,134.1,134.9,422290
2017-05-25,135.33,136.74,134.39,135.88,282062
2017-05-26,135.69,139.02,135.69,138.59,461131
2017-05-30,138.2,140.62,138.2,139.72,400178
2017-05-31,139.74,141.24,137.34,137.43,336098
2017-06-01,137.45,141.86,137.45,141.0,318574
2017-06-02,141.12,142.49,140.61,141.55,300771
2017-06-05,141.98,142.95,140.85,141.81,153727
2017-06-06,141.46,143.0,140.0,142.15,488723
2017-06-07,142.63,143.0,141.52,142.06,291161
2017-06-08,143.0,143.75,141.59,142.84,609735
2017-06-09,143.28,145.58,139.79,141.23,346231
2017-06-12,139.94,141.09,134.8,139.97,534058
2017-06-13,140.43,141.79,139.62,140.65,352094
2017-06-14,141.48,143.71,140.67,142.3,241812
2017-06-15,141.01,143.29,140.29,142.88,215161
2017-06-16,142.75,143.49,142.14,143.39,293856
2017-06-19,144.17,146.32,143.85,145.94,175870
2017-06-20,146.24,147.45,144.13,144.46,245271
2017-06-21,144.49,146.0,143.54,145.5,170028
2017-06-22,145.06,145.75,143.62,144.73,293761
2017-06-23,144.98,145.58,144.29,144.49,259200
2017-06-26,144.49,145.4,142.59,142.78,278431
2017-06-27,142.72,142.72,139.65,140.47,318361
2017-06-28,141.25,143.1,140.92,142.41,278714
2017-06-29,142.39,142.39,139.49,140.24,218284
2017-06-30,140.86,144.07,139.99,143.3,460611
2017-07-03,144.82,145.5,141.48,142.29,140464
2017-07-05,142.84,143.5,141.76,142.38,201400
2017-07-06,141.37,143.19,139.55,139.96,248553
2017-07-07,140.22,142.6,139.77,142.05,139908
2017-07-10,142.12,142.47,140.0,141.15,298932
2017-07-11,141.44,142.9,141.06,142.06,320140
2017-07-12,143.21,145.28,142.85,144.08,183436
2017-07-13,144.5,144.5,142.22,142.99,218631
2017-07-14,143.3,146.06,142.7,145.07,195051
2017-07-17,145.5,145.96,142.82,144.04,168029
2017-07-18,143.71,145.25,143.19,144.34,218568
2017-07-19,144.92,145.69,144.0,144.55,279274
2017-07-20,144.8,145.21,144.06,144.3,237163
2017-07-21,144.08,145.2,142.91,144.1,290782
2017-07-24,144.1,147.39,143.93,147.3,217200
2017-07-25,147.82,149.34,147.46,148.3,580889
2017-07-26,148.56,149.11,145.02,145.08,731352
2017-07-27,144.02,145.23,141.56,142.97,687741
2017-07-28,143.01,147.54,142.22,146.25,375370
2017-07-31,147.02,148.42,146.01,148.09,339038
2017-08-01,148.85,148.91,146.61,146.78,263206
2017-08-02,146.8,146.8,144.63,146.44,318116
2017-08-03,146.32,147.9,144.51,147.89,284485
2017-08-04,148.63,151.22,148.33,151.01,397836
2017-08-07,151.67,153.44,151.17,153.35,249455
2017-08-08,153.3,157.41,152.74,155.87,417593
2017-08-09,155.1,156.89,154.71,155.85,369056
2017-08-10,155.35,156.2,149.94,150.01,382660
2017-08-11,150.66,152.31,149.88,151.37,218394
2017-08-14,152.6,154.4,152.41,154.26,165916
2017-08-15,154.73,155.29,153.55,154.51,174102
2017-08-16,155.27,155.68,154.1,155.16,254386
2017-08-17,155.16,156.24,153.63,153.7,125036
2017-08-18,153.58,153.58,151.95,152.14,253696
2017-08-21,152.15,153.69,151.93,153.32,307721
2017-08-22,153.0,155.59,152.64,154.99,281986
2017-08-23,154.76,154.93,152.75,152.9,215339
2017-08-24,153.27,153.81,148.76,148.93,518920
2017-08-25,149.67,149.67,147.13,147.67,241826
2017-08-28,147.8,149.12,147.67,147.9,295334
2017-08-29,145.98,147.1,144.64,145.39,491437
2017-08-30,145.78,147.54,144.01,147.48,441172
2017-08-31,147.68,150.89,147.65,150.8,237878
2017-09-01,150.85,151.59,150.1,151.06,231401
2017-09-05,150.57,151.61,148.8,150.51,566240
2017-09-06,150.92,152.16,150.14,151.61,283977
2017-09-07,152.08,153.88,151.43,153.85,244534
2017-09-08,153.64,157.88,153.64,156.9,218161
2017-09-11,157.17,158.13,157.07,157.81,316973
2017-09-12,158.28,158.28,156.5,157.91,170037
2017-09-13,157.38,159.25,154.64,158.46,263772
2017-09-14,158.75,159.8,157.64,158.87,257595
2017-09-15,158.85,158.85,157.87,158.58,571195
2017-09-18,157.93,158.83,157.23,157.9,273081
2017-09-19,158.54,158.6,155.57,157.1,234555
2017-09-20,157.32,157.92,156.53,157.42,191715
2017-09-21,158.91,160.1,158.36,159.79,287244
2017-09-22,160.01,164.6,159.51,163.96,355780
2017-09-25,164.2,164.52,158.71,160.31,280781
2017-09-26,160.53,161.05,159.77,160.61,195045
2017-09-27,161.41,163.88,161.05,163.72,253371
2017-09-28,163.96,163.96,161.6,162.34,273790
2017-09-29,164.68,171.0,164.42,168.6,570036
2017-10-02,168.93,171.39,168.7,169.86,361146
2017-10-03,170.12,170.83,167.83,168.78,334607
2017-10-04,169.74,171.95,168.71,171.8,250462
2017-10-05,172.31,174.14,170.75,173.65,278254
2017-10-06,173.37,175.6,173.1,174.88,208368
2017-10-09,175.59,175.72,173.63,173.99,219521
2017-10-10,173.87,173.87,171.49,172.18,293859
2017-10-11,172.39,172.93,171.66,172.66,284881
2017-10-12,173.59,173.6,170.6,173.0,364130
2017-10-13,172.6,175.48,172.12,173.85,141223
2017-10-16,171.66,172.92,170.1,170.55,295837
2017-10-17,171.0,172.64,170.94,172.47,167995
2017-10-18,172.97,173.75,171.91,172.95,174769
2017-10-19,173.0,173.37,170.57,172.21,225788
2017-10-20,173.4,175.79,172.27,174.62,209566
2017-10-23,174.98,177.76,174.53,176.0,264493
2017-10-24,175.8,177.11,174.49,176.71,279675
2017-10-25,176.72,176.72,164.8,171.37,861732
2017-10-26,177.0,180.15,170.3,179.59,1151174
2017-10-27,182.02,183.96,180.04,181.07,676567
2017-10-30,179.56,180.12,177.4,179.48,394338
